lost_items,lost_user,ticket_category,ticket_subcategory
12.728414285714287,False,Работа с объявлениями и личным кабинетом,Другие вопросы и консультации
32.486178260869565,False,Блокировки и отклонения,Заблокированное объявление
0,False,Блокировки и отклонения,Заблокированное объявление
3.0927,True,Блокировки и отклонения,Отклоненное объявление
0,False,"Магазины, Автозагрузка и юридические лица",Другие вопросы и консультации
0,False,Работа с объявлениями и личным кабинетом,Подача объявления
10.116613043478262,False,Блокировки и отклонения,Заблокированное объявление
0,True,Безопасность на Avito,"Мошенническое SMS, MMS или веб-сайт"
1.851790909090909,True,Блокировки и отклонения,Заблокированное объявление
1.9188904761904761,True,"Магазины, Автозагрузка и юридические лица",Другие вопросы и консультации
0.12603333333333333,False,Блокировки и отклонения,Заблокированное объявление
1.3669424242424242,False,Платные услуги и сервисы,Оплата и применение услуг
0,True,Технические вопросы,Вход в личный кабинет
0,True,Технические вопросы,Подтверждение телефонного номера
0.3900684210526315,True,Блокировки и отклонения,Заблокированная учетная запись
39.9427,False,Работа с объявлениями и личным кабинетом,Подача объявления
0.5790636363636364,True,Безопасность на Avito,Подозрительный пользователь
0.39270000000000016,False,Блокировки и отклонения,Заблокированное объявление
0,False,Технические вопросы,Доступ к сайту
0,False,Платные услуги и сервисы,Оплата и применение услуг
0,False,Блокировки и отклонения,Заблокированное объявление
0,False,Технические вопросы,Доступ к сайту
0,False,Работа с объявлениями и личным кабинетом,Другие вопросы и консультации
15.247047826086957,False,Блокировки и отклонения,Заблокированное объявление
93.8340043478261,False,Работа с объявлениями и личным кабинетом,Другие вопросы и консультации
0,False,Блокировки и отклонения,Заблокированное объявление
0.2093666666666668,False,Блокировки и отклонения,Заблокированная учетная запись
0,False,Работа с объявлениями и личным кабинетом,Удаление учетной записи
1.3063363636363636,False,Работа с объявлениями и личным кабинетом,Подача объявления
0,True,Технические вопросы,Некорректная работа поиска
8.669972727272727,False,Блокировки и отклонения,Заблокированная учетная запись
3.351790909090909,False,Технические вопросы,Вход в личный кабинет
3.215427272727273,True,Блокировки и отклонения,Заблокированное объявление
2.3063363636363636,False,Блокировки и отклонения,Заблокированное объявление
0.4927,False,Работа с объявлениями и личным кабинетом,Настройки Личного кабинета
0,False,Блокировки и отклонения,Заблокированная учетная запись
1.5336090909090907,False,Работа с объявлениями и личным кабинетом,Другие вопросы и консультации
0.04984285714285719,False,Блокировки и отклонения,Заблокированное объявление
1.0487606060606063,False,Блокировки и отклонения,Отклоненное объявление
0,False,Блокировки и отклонения,Заблокированное объявление
0.2522238095238095,True,Работа с объявлениями и личным кабинетом,Другие вопросы и консультации
1.2858372549019608,False,Блокировки и отклонения,Заблокированная учетная запись
0.4427,False,Блокировки и отклонения,Заблокированное объявление
1.7470478260869564,True,Технические вопросы,Доступ к сайту
0,False,Блокировки и отклонения,Заблокированная учетная запись
0,False,Блокировки и отклонения,Заблокированное объявление
3.6245181818181815,False,Блокировки и отклонения,Заблокированное объявление
0,False,Работа с объявлениями и личным кабинетом,Другие вопросы и консультации
3.321487878787879,False,Блокировки и отклонения,Заблокированное объявление
0,False,Блокировки и отклонения,Заблокированное объявление
0,False,Блокировки и отклонения,Заблокированное объявление
0,False,Блокировки и отклонения,Заблокированная учетная запись
0,True,Блокировки и отклонения,Отклоненное объявление
0.39508095238095253,False,Блокировки и отклонения,Отклоненное объявление
1.5731347826086957,True,Блокировки и отклонения,Заблокированное объявление
0,True,Блокировки и отклонения,Заблокированная учетная запись
0.22530869565217382,False,Блокировки и отклонения,Заблокированное объявление
0,False,Блокировки и отклонения,Отклоненное объявление
0,True,Блокировки и отклонения,Заблокированная учетная запись
0,False,Блокировки и отклонения,Заблокированное объявление
4.83158888888889,True,Блокировки и отклонения,Заблокированная учетная запись
0.7284142857142858,True,Блокировки и отклонения,Заблокированная учетная запись
0,False,Блокировки и отклонения,Заблокированное объявление
1.7426999999999988,False,Блокировки и отклонения,Заблокированная учетная запись
31.20460476190476,False,Блокировки и отклонения,Заблокированное объявление
0,False,Работа с объявлениями и личным кабинетом,Другие вопросы и консультации
0,False,Работа с объявлениями и личным кабинетом,Удаление учетной записи
0,False,Блокировки и отклонения,Заблокированное объявление
5.764922222222221,False,Блокировки и отклонения,Заблокированное объявление
0,False,Блокировки и отклонения,Заблокированное объявление
0,True,Технические вопросы,Вход в личный кабинет
0,False,Блокировки и отклонения,Заблокированное объявление
0.2522238095238095,True,Платные услуги и сервисы,Другие вопросы и консультации
5.399221739130435,True,Блокировки и отклонения,Заблокированное объявление
6.9427,False,Блокировки и отклонения,Заблокированное объявление
0.14269999999999994,False,Технические вопросы,Вход в личный кабинет
1.705857894736842,True,Платные услуги и сервисы,Общие вопросы и консультации Avito Промо
0.7470478260869561,False,Безопасность на Avito,Подозрительный пользователь
0,False,Блокировки и отклонения,Отклоненное объявление
0.8712714285714286,True,Безопасность на Avito,Другие вопросы и консультации
0,True,Технические вопросы,Подтверждение телефонного номера
0,False,Работа с объявлениями и личным кабинетом,Снятие объявления с публикации
0,False,"Магазины, Автозагрузка и юридические лица",Платные услуги
0,False,Технические вопросы,Доступ к сайту
0,False,Технические вопросы,Доступ к сайту
1.351790909090909,True,Технические вопросы,Доступ к сайту
4.133176190476191,False,Блокировки и отклонения,Отклоненное объявление
2.0079173913043475,True,Блокировки и отклонения,Заблокированное объявление
2.1532263157894733,False,Блокировки и отклонения,Заблокированное объявление
0,False,Блокировки и отклонения,Заблокированное объявление
0,True,Технические вопросы,Доступ к сайту
0,False,Блокировки и отклонения,Заблокированная учетная запись
0,False,Блокировки и отклонения,Заблокированная учетная запись
0,False,Блокировки и отклонения,Заблокированное объявление
0.5079173913043479,False,Технические вопросы,Другие вопросы и консультации
0,False,Блокировки и отклонения,Заблокированное объявление
0,False,Блокировки и отклонения,Отклоненное объявление
0.04269999999999996,True,Безопасность на Avito,Подозрительный пользователь
0,False,Технические вопросы,Доступ к сайту
0,False,"Магазины, Автозагрузка и юридические лица",Технические вопросы
